date,product,contextFirstDate,contextLastDate,calendarSlots,observedSlots,nanSlots,contextSha256
2023-05-06,11,2021-12-10,2023-05-05,512,372,140,0fdca450b9e6af14062536e855834c50cfcd74bcb1c01a315ae5cb842bd779a3
2023-05-06,12,2021-12-10,2023-05-05,512,364,148,44474d11e02f85b201dacc1f8a7e5327914df71e2f10b027d26b9803062b0c6d
2023-05-06,13,2021-12-10,2023-05-05,512,370,142,7fb6f09c4af959172247a3f5f024c6ecfbfb1ffe8a6f3553c179499665d63b7e
2023-05-06,21,2021-12-10,2023-05-05,512,371,141,8bbc1a30e93693ab7c50a0892db44029fbd340e30692a94c80109639cf896274
2023-05-06,35,2021-12-10,2023-05-05,512,367,145,904c9381d45c01ad45e72f7bbaaae5a9ccefc3a72a974f0116b0298f1ffe30d4
2023-05-06,82,2021-12-10,2023-05-05,512,364,148,7c91159028a892b3bc35e44df98d9d9b92eba55c69be81567f8372c3af969c06
2023-05-07,11,2021-12-11,2023-05-06,512,373,139,fa451ca68625eff46272f631e5d01d79ef1f45a745c858c6035366c0fef5b655
2023-05-07,12,2021-12-11,2023-05-06,512,365,147,d04466bd275f1e024651be8a44c23a71f0dd16de96cc5920e3a44db532b9bccb
2023-05-07,13,2021-12-11,2023-05-06,512,371,141,be3f7874a628554da4528e39e9c972093574e11e89c65e24c527d81e69adf90a
2023-05-07,21,2021-12-11,2023-05-06,512,372,140,4f36a95917676bfcf388b763ffa90eaef6becebf3067a992e59979c9f24a4eb4
2023-05-07,35,2021-12-11,2023-05-06,512,368,144,e50ab9663a121c04d81850729c499fd800bea814cc9bb6734986aa5e3c26a122
2023-05-07,82,2021-12-11,2023-05-06,512,365,147,2cdcef5ec876dffafbc2d7999fcb3d5e99e3e68c50efcc4b46a695646d2b2643
2023-05-08,11,2021-12-12,2023-05-07,512,374,138,402a802031af8f6698f7776b1515ecabc9062c81cd2a3df610ebb95e75d6145a
2023-05-08,12,2021-12-12,2023-05-07,512,366,146,1e503e422b12fbfd065ce73a260c0f4e77959d0db53364a3f410222e27b53561
2023-05-08,13,2021-12-12,2023-05-07,512,372,140,5934be7345e741a7a4d7d05f73cf429b8f49d7ac5290b9c7df0754a585b0beda
2023-05-08,21,2021-12-12,2023-05-07,512,373,139,2d31e9db14c75cd3d4b22aae7cff52add828de7206676797c5cb2117645c9e50
2023-05-08,35,2021-12-12,2023-05-07,512,369,143,74c1c881a41f63dca12e399ee1c600030e90f432152d3023507690af7b360184
2023-05-08,82,2021-12-12,2023-05-07,512,366,146,59a99face7095402bde6e25ef479f7644ec062b40c68035ecf06bb5c6f179ab6
2023-05-09,11,2021-12-13,2023-05-08,512,375,137,86e71c49336cfd44a7798e77ac4ecba57c87ac3c55ca9c8c82cbfac52aab674c
2023-05-09,12,2021-12-13,2023-05-08,512,367,145,4155d8272f723a6c828d99c9dbb0cda1d90198b708b94733c423c1de899d5c16
2023-05-09,13,2021-12-13,2023-05-08,512,373,139,99a35795dc664298db7e47654f68ebb277d0bdd0c1e7f0b0d9943c719295963d
2023-05-09,21,2021-12-13,2023-05-08,512,374,138,46a7502024bcb459fec42fa8686b1ec35ce330a779caae935f787199f6d5e06e
2023-05-09,35,2021-12-13,2023-05-08,512,370,142,47c861759c21b4f15099361bfeaa275d8e0467dbe4a904e9a7021644ef8cd2df
2023-05-09,82,2021-12-13,2023-05-08,512,367,145,35555c0bcae2144d4d1b25893432441a4062ffa9f3d9ed3fac992abedbbb0cba
2023-05-10,11,2021-12-14,2023-05-09,512,376,136,cabf45e277de5f244b7407dd46792cd4609a0085838c54b7d9dead2c4157bc27
2023-05-10,12,2021-12-14,2023-05-09,512,368,144,f31209e74f772aebb945beb6822fdf40594d5d34d20eab072c481861ee42d308
2023-05-10,13,2021-12-14,2023-05-09,512,374,138,a2f6851a111b22cb68d248468b8639691a54f59a12a0e7b4bacae32a79272fde
2023-05-10,21,2021-12-14,2023-05-09,512,375,137,b10289701cbab1a79112ec2cf9c51e2f6c9250533b64b031dde865b8b089d549
2023-05-10,35,2021-12-14,2023-05-09,512,371,141,724033d76239b572a8f4f09071c959196e9bbb313af03f70f663371848b08fab
2023-05-10,82,2021-12-14,2023-05-09,512,368,144,2e6b4f7f18b6bdbb0dd0a0c1336ae20e7cdf862ff4f9a96a51327d5152348111
2023-05-11,11,2021-12-15,2023-05-10,512,377,135,2f2d83edb90232de03d05174efcc586455decb89ba410489799a15fd2fe56d3e
2023-05-11,12,2021-12-15,2023-05-10,512,369,143,a80f6ef1faa92d2cfa209346677ba1584058cb9de9aee7fc6ffae7ffebca3c8a
2023-05-11,13,2021-12-15,2023-05-10,512,375,137,4e6afdfc7ec77c05d2891f64fda784efb862181c5d6269c53bad21ab8c1ef407
2023-05-11,21,2021-12-15,2023-05-10,512,376,136,9bc807b4efc2363a56dff324858e598c6b6b643baa51d8703be32672666034dd
2023-05-11,35,2021-12-15,2023-05-10,512,372,140,92f8974e804a3aab62c79c1609c0338936f6dda536a27adeb4d3d185d44d18c6
2023-05-11,82,2021-12-15,2023-05-10,512,369,143,4f4f567c4d6d1772704daf1f86959043f64db22dd267b1c2553b47057e587b5b
2023-05-12,11,2021-12-16,2023-05-11,512,378,134,e1a945df30e4f5a0acfeaeebb5a5b3c15e9dacda16bd3bf59ee9d508a9ba1a47
2023-05-12,12,2021-12-16,2023-05-11,512,370,142,6b5d1be24e9606209cfd293c362c0561b93e5b5b3cc780553925a60c947f41bb
2023-05-12,13,2021-12-16,2023-05-11,512,376,136,b70271f36dea15bdf7d64c5e2506fe2cf5df8c4203751a0ce2c38cd663291a85
2023-05-12,21,2021-12-16,2023-05-11,512,377,135,4fca3384672995722a9f3ef6c8f01740e16bda98caeb840e27b8bcfb3dedc744
2023-05-12,35,2021-12-16,2023-05-11,512,373,139,075402963109b8c0463dfc3cc14ffa33ed749b2e8cbbbad9aef6b350879c7f9f
2023-05-12,82,2021-12-16,2023-05-11,512,370,142,1f4d5eefaf13d74b654c6aa340ba1b5894f605977bc8dafa38732131aa848a1f
2023-05-13,11,2021-12-17,2023-05-12,512,379,133,01512f1584756c3c83098fd8ef5c49a67c9e082e07c710dcc7ad9941cddd3018
