id,modelId,splitId,n,actualTotal,wape,mae,over,under,loss,fitSeconds,status
split-1:last-day,last-day,split-1,370,12927,33.1167324205,11.5702702703,3251,1414,7493,0.123710679,completed
split-1:last-week,last-week,split-1,370,12927,29.7130037905,10.3810810811,3039,1152,6495,0.088003004,completed
split-1:recent-7,recent-7,split-1,370,12927,26.7540806065,9.3472972973,3177,975,6102,0.311631799,completed
split-1:weekday-8,weekday-8,split-1,370,12927,27.5972770171,9.64189189189,1972,1482,6418,0.370812449,completed
split-1:ridge,ridge,split-1,370,12927,24.7605132545,8.65078796868,1758,1415,6003,0.004266316,completed
split-1:elastic-net,elastic-net,split-1,370,12927,24.3750463189,8.51611415581,1791,1363,5880,0.009915428,completed
split-1:huber,huber,split-1,370,12927,25.0802144549,8.76248465563,1691,1456,6059,0.166587582,completed
split-1:linear-quantile-0,linear-quantile-0,split-1,370,12927,24.8234547984,8.67277838321,2385,964,5277,2.751025871,completed
split-1:linear-quantile-1,linear-quantile-1,split-1,370,12927,45.2386477914,15.8054054054,478,4383,13627,0.682576248,completed
split-1:spline-ridge,spline-ridge,split-1,370,12927,30.5831448301,10.6850895464,1352,2067,7553,0.01784294,completed
split-1:poisson,poisson,split-1,370,12927,30.1075268817,10.5189189189,3549,1039,6666,0.285568846,completed
split-1:negative-binomial,negative-binomial,split-1,370,12927,31.3993966117,10.9702702703,5380,706,7498,0.622409826,completed
split-1:svr,svr,split-1,370,12927,31.4166649188,10.9763034434,1322,2433,8621,0.298036554,completed
split-1:knn,knn,split-1,370,12927,28.8689946831,10.0862025478,1382,2004,7394,0.014405698,completed
split-1:random-forest,random-forest,split-1,370,12927,27.2685077744,9.52702702703,1665,1531,6258,1.865258552,completed
split-1:extra-trees,extra-trees,split-1,370,12927,28.6996209484,10.027027027,1427,1832,6923,0.992277524,completed
split-1:histogram-small,histogram-small,split-1,370,12927,28.2251430755,9.86125471722,1708,1564,6400,1.225423024,completed
split-1:histogram-medium,histogram-medium,split-1,370,12927,29.5107913453,10.3104324249,1693,1689,6760,2.776543541,completed
split-1:histogram-large,histogram-large,split-1,370,12927,30.7618013002,10.7475082542,1663,1717,6814,6.391376638,completed
split-1:lightgbm,lightgbm,split-1,370,12927,29.0202789359,10.1390579947,1676,1711,6809,0.665727145,completed
split-1:xgboost,xgboost,split-1,370,12927,28.1141012001,9.82245908686,1453,1750,6703,0.883114919,completed
split-1:catboost,catboost,split-1,370,12927,28.5752731098,9.98358258082,1589,1746,6827,0.877995399,completed
split-1:sarima,sarima,split-1,370,12927,26.692639098,9.32583096269,2698,1121,6061,13.253034351,completed
split-1:state-space,state-space,split-1,370,12927,24.9302727326,8.71009825986,3820,679,5857,6.236031973,completed
split-1:holt,holt,split-1,370,12927,27.4740500148,9.59883904166,4107,882,6753,0.301095381,completed
split-1:ou-sde,ou-sde,split-1,370,12927,27.8501748446,9.73024892476,2567,1270,6377,0.453775762,completed
split-1:nonlinear-ode,nonlinear-ode,split-1,370,12927,27.8765094485,9.73944966596,1957,1557,6628,0.564293852,completed
split-1:nonlinear-sde,nonlinear-sde,split-1,370,12927,28.0999932989,9.81753009123,2653,1263,6442,0.739224027,completed
