seriesId,variantId,modelId,group,name,n,actualTotal,absoluteError,wape,mae,over,under,loss,rankVsFixed34_loss,rankVsFixed34_wape,rankVsFixed34_mae,rankVsRolling34_loss,rankVsRolling34_wape,rankVsRolling34_mae
fixed/last-day,frozen,last-day,fixed,전날 판매 · 고정 보정,974,23373,8037,34.385829803619558,8.2515400410677611,8622,1979,14559,27,28,28,34,32,32
fixed/last-week,frozen,last-week,fixed,전주 같은 요일 · 고정 보정,974,23373,8043.5,34.413639669704359,8.2582135523613971,9319,1507,13840,22,29,29,32,32,32
fixed/recent-7,frozen,recent-7,fixed,최근 7일 판매분포 · 고정 보정,974,23373,6697,28.652718949214908,6.8757700205338805,7280,1524,11852,4,6,6,19,16,16
fixed/weekday-8,frozen,weekday-8,fixed,최근 8주 같은 요일 · 고정 보정,974,23373,10746.75,45.979335130278528,11.033624229979466,12621,1623,17490,33,33,33,35,35,35
fixed/ridge,frozen,ridge,fixed,Ridge 회귀 · 고정 보정,974,23373,6631.1249466044419,28.370876424098071,6.8081364954871066,6816,1758,12090,7,5,5,24,15,15
fixed/elastic-net,frozen,elastic-net,fixed,Elastic Net · 고정 보정,974,23373,6544.5018086465197,28.000264444643474,6.7192010355713752,6712,1713,11851,3,4,4,19,14,14
fixed/huber,frozen,huber,fixed,Huber 회귀 · 고정 보정,974,23373,6531.4636121623898,27.94448129107256,6.7058147968813033,6594,1806,12012,5,3,3,23,14,14
fixed/linear-quantile-0,frozen,linear-quantile-0,fixed,선형 분위수 · 비정규화 · 고정 보정,974,23373,6445.0223940592205,27.574647644971634,6.6170661129971462,6344,1484,10796,1,2,2,3,10,10
fixed/linear-quantile-1,frozen,linear-quantile-1,fixed,선형 분위수 · L1 정규화 · 고정 보정,974,23373,13600,58.186796731271123,13.963039014373717,12039,4489,25506,34,34,34,35,35,35
fixed/spline-ridge,frozen,spline-ridge,fixed,스플라인 Ridge · 고정 보정,974,23373,8080.416766335773,34.571585874024613,8.2961157765254345,7341,2316,14289,23,30,30,33,32,32
fixed/poisson,frozen,poisson,fixed,Poisson 회귀 · 고정 보정,974,23373,7859.5,33.626406537457747,8.0693018480492817,7443,1808,12867,15,22,22,31,31,31
fixed/negative-binomial,frozen,negative-binomial,fixed,음이항 회귀 · 고정 보정,974,23373,8178.5,34.991229196080951,8.3968172484599588,7938,2224,14610,28,31,31,34,33,33
fixed/svr,frozen,svr,fixed,SVR · 고정 보정,974,23373,7875.1063952587501,33.693177577798103,8.0853248411280809,7138,2750,15388,32,23,23,34,31,31
fixed/knn,frozen,knn,fixed,kNN · 고정 보정,974,23373,7917.7743667179602,33.875729973550506,8.1291317933449285,8221,2175,14746,29,26,26,34,31,31
fixed/random-forest,frozen,random-forest,fixed,Random Forest 분위수숲 · 고정 보정,974,23373,7478,31.994181320326874,7.6776180698151952,6620,1966,12518,11,14,14,27,31,31
fixed/extra-trees,frozen,extra-trees,fixed,Extra Trees 분위수숲 · 고정 보정,974,23373,7442,31.840157446626449,7.6406570841889119,6187,2229,12874,17,12,12,31,31,31
fixed/histogram-small,frozen,histogram-small,fixed,히스토그램 부스팅 · 작은 나무 · 고정 보정,974,23373,7586.2676433864899,32.457398037849188,7.7887758145651844,6218,1946,12056,6,16,16,24,31,31
fixed/histogram-medium,frozen,histogram-medium,fixed,히스토그램 부스팅 · 중간 나무 · 고정 보정,974,23373,7639.8082951916804,32.686468554279209,7.8437456829483372,6861,1993,12840,14,18,18,31,31,31
fixed/histogram-large,frozen,histogram-large,fixed,히스토그램 부스팅 · 큰 나무 · 고정 보정,974,23373,7876.1878969438912,33.697804718880292,8.0864352124680607,6986,2002,12992,19,24,24,31,31,31
fixed/lightgbm,frozen,lightgbm,fixed,LightGBM · 고정 보정,974,23373,7595.3929574316799,32.496440155015101,7.7981447201557286,6849,2008,12873,16,17,17,31,31,31
fixed/xgboost,frozen,xgboost,fixed,XGBoost · 고정 보정,974,23373,7460.6537427881703,31.919966383383265,7.659808770829744,6840,2029,12927,18,13,13,31,31,31
fixed/catboost,frozen,catboost,fixed,CatBoost 분위수 · 고정 보정,974,23373,7666.2510373588302,32.79960226483049,7.8708942888694358,6407,2115,12752,13,19,19,30,31,31
fixed/sarima,frozen,sarima,fixed,SARIMA · 고정 보정,974,23373,7051.1409893057498,30.167890255019678,7.2393644654063136,7390,1594,12172,9,11,11,25,25,25
fixed/state-space,frozen,state-space,fixed,구조적 상태공간 · 고정 보정,974,23373,6261.9591552683605,26.791422390229584,6.429116175840206,7155,1414,11397,2,1,1,14,1,1
fixed/holt,frozen,holt,fixed,감쇠 추세 Holt · 고정 보정,974,23373,6766.2360803511292,28.94894142964587,6.9468542919416114,7750,1664,12742,12,7,7,30,20,20
fixed/ou-sde,frozen,ou-sde,fixed,OU 확률미분방정식 · 고정 보정,974,23373,6904.2103639491797,29.539256252723998,7.0885116672989525,6942,1720,12102,8,8,8,24,23,23
fixed/nonlinear-ode,frozen,nonlinear-ode,fixed,비선형 3차 ODE · 고정 보정,974,23373,6913.6042913226001,29.579447616149405,7.0981563565940453,7435,1874,13057,20,9,9,31,24,24
fixed/nonlinear-sde,frozen,nonlinear-sde,fixed,비선형 3차 SDE · 고정 보정,974,23373,6953.1470764355709,29.748629086705048,7.1387546985991488,7059,1723,12228,10,10,10,25,24,24
fixed/mlp,frozen,mlp,fixed,MLP · 고정 보정,974,23373,7888.6905896546095,33.751296751185599,8.0992716526228019,6543,2591,14316,25,25,25,33,31,31
fixed/lstm,frozen,lstm,fixed,LSTM · 고정 보정,974,23373,7691.69497428054,32.908462646132463,7.8970174273927514,6153,2717,14304,24,20,20,33,31,31
